id,name,price,stock,category_id,store_id,description,slug,rating_avg,total_sold,is_active
019f3fc7-1ebd-74f6-9d9d-5b779e5b6b41,Fresh Organic Spinach 500g,8500.00,120,019f3fc7-1be0-7aac-9724-6d67fa2c3dbd,019f3fc6-f0ed-7bea-8d7f-11e59247a8b4,Fresh organic spinach harvested in the morning; rich in iron and vitamins.,fresh-organic-spinach-500g,4.8,145,true
019f3fc7-219a-7a5d-8a26-cad7bd34938d,Organic Cherry Tomatoes 250g,12000.00,80,019f3fc7-1be0-7aac-9724-6d67fa2c3dbd,019f3fc6-f0ed-7bea-8d7f-11e59247a8b4,"Sweet and juicy organic cherry tomatoes, hand-picked at peak ripeness.",organic-cherry-tomatoes-250g,4.7,98,true
019f3fc7-2477-7914-adb4-f2f9e3ba8b77,Organic Broccoli 500g,15000.00,60,019f3fc7-1be0-7aac-9724-6d67fa2c3dbd,019f3fc6-f0ed-7bea-8d7f-11e59247a8b4,"Crisp organic broccoli grown without synthetic pesticides, perfect for stir-fry.",organic-broccoli-500g,4.6,72,true
019f3fc7-2754-75b7-b868-86f58ddb8d9f,Organic Green Apple 1kg,28000.00,45,019f3fc7-106c-78d3-a4de-e78c0464150d,019f3fc6-f0ed-7bea-8d7f-11e59247a8b4,"Crisp and tangy organic green apples, naturally grown in highland orchards.",organic-green-apple-1kg,4.9,130,true
019f3fc7-2a31-710d-8cfb-3179190c30c8,Organic Kale 300g,13500.00,0,019f3fc7-1be0-7aac-9724-6d67fa2c3dbd,019f3fc6-f0ed-7bea-8d7f-11e59247a8b4,"Nutrient-dense organic kale, great for smoothies and salads. Currently out of stock.",organic-kale-300g,4.5,40,false
019f3fc7-2d0e-78eb-a3c7-b1da483066c5,Sweet California Papaya 1kg,14000.00,55,019f3fc7-1626-7cf2-ae92-83ba6a0bd723,019f3fc6-f3ca-7882-9340-5ba4f10ae558,"Sweet and soft papaya, rich in vitamin A and perfect as a refreshing snack.",sweet-california-papaya-1kg,4.5,88,true
019f3fc7-2feb-7bda-a32b-4025a480151d,Fresh Lettuce Head 400g,7000.00,95,019f3fc7-1626-7cf2-ae92-83ba6a0bd723,019f3fc6-f3ca-7882-9340-5ba4f10ae558,"Crisp and crunchy lettuce, ideal for salads and sandwiches.",fresh-lettuce-head-400g,4.6,110,true
019f3fc7-32c8-766d-bd88-67b39a508061,Fresh Carrots 1kg,9500.00,150,019f3fc7-1903-717b-b2e3-52ab8dc21eaa,019f3fc6-f3ca-7882-9340-5ba4f10ae558,"Sweet and crunchy carrots, harvested fresh from the highland fields.",fresh-carrots-1kg,4.7,165,true
019f3fc7-35a5-706b-8cc0-9ada38396f30,Red Cabbage 500g,8000.00,70,019f3fc7-04f8-7fac-881c-4d069df2cd6e,019f3fc6-f3ca-7882-9340-5ba4f10ae558,"Vibrant and crunchy red cabbage, great for salads and pickling.",red-cabbage-500g,4.4,54,true
019f3fc7-3882-7eab-b9b2-a3eb33059223,Fresh Cucumber 500g,6500.00,110,019f3fc7-04f8-7fac-881c-4d069df2cd6e,019f3fc6-f3ca-7882-9340-5ba4f10ae558,"Cool and crisp cucumbers, perfect for salads and pickles.",fresh-cucumber-500g,4.5,99,true
019f3fc7-3b5f-7143-8f73-4202813edb4e,Premium White Rice 5kg,68000.00,200,019f3fc7-07d5-7cd6-91bf-4998dd168342,019f3fc6-f6a7-7a53-8965-c0c5341a88d3,"Premium quality white rice grown in fertile paddy fields, soft and fragrant when cooked.",premium-white-rice-5kg,4.8,320,true
019f3fc7-3e3c-7d74-8c72-e254fc50fab9,Organic Brown Rice 5kg,82000.00,130,019f3fc7-07d5-7cd6-91bf-4998dd168342,019f3fc6-f6a7-7a53-8965-c0c5341a88d3,"Wholesome organic brown rice, minimally processed to retain natural nutrients.",organic-brown-rice-5kg,4.7,210,true
019f3fc7-4119-7733-837f-dda3bc79673f,Red Rice 2kg,45000.00,90,019f3fc7-07d5-7cd6-91bf-4998dd168342,019f3fc6-f6a7-7a53-8965-c0c5341a88d3,Nutty-flavored red rice packed with fiber and antioxidants.,red-rice-2kg,4.6,76,true
